seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag;;;
13;26.0064;26;1.74284;4;591.169;0.00176404;0;;;
13;30.7811;31;0.958209;5;699.706;0.000969864;0;;;
13;30.4674;-1;1.01437;6;692.576;0.00102671;0;;;
13;8.59535;-1;6.06416;7;195.387;0.00613792;0;;;
13;38.639;39;0.338211;8;878.33;0.000342325;0;;;
13;1;1;1;9;22.7317;0.00101216;1;;;
13;26.2894;26;1.56728;10;597.603;0.00158634;1;;;
13;13.7735;-1;0.526506;11;313.096;0.00053291;1;;;
13;21.643;-1;0.604103;12;491.982;0.000611451;0;;;
13;15.204;15;0.603334;13;345.613;0.000610673;0;;;
13;8.90167;9;6.11894;14;202.35;0.00619337;0;;;
13;32.4174;32;0.405738;15;736.902;0.000410674;1;;;
13;19.5872;-1;0.348153;16;445.25;0.000352387;0;;;
13;28.2488;28;0.207493;17;642.143;0.000210017;0;;;
13;36.6678;37;0.238575;18;833.523;0.000241477;1;;;
13;52.319;52;0.201649;19;1189.3;0.000204102;0;;;
14;41.5055;42;0.853844;0;789.41;0.00129339;0;;;
14;4.97086;5;2.95805;1;94.5428;0.00448079;0;;;
14;12.7094;-1;0.87105;2;241.725;0.00131945;0;;;
14;20.6182;-1;0.560186;3;392.145;0.000848558;0;;;
14;31.0705;31;1.32571;4;590.943;0.00200816;0;;;
14;4.61852;-1;3.01884;5;87.8416;0.00457288;1;;;
14;36.3965;36;0.443216;6;692.241;0.000671375;0;;;
14;10.2741;-1;4.73047;7;195.408;0.00716562;0;;;
14;46.2018;46;0.265049;8;878.731;0.000401491;0;;;
14;1;1;1;9;19.0194;0.00151478;0;;;
14;31.3963;31;1.15122;10;597.138;0.00174385;0;;;
14;16.6736;-1;0.415032;11;317.123;0.000628682;0;;;
14;25.8841;26;0.48808;12;492.3;0.000739333;0;;;
14;18.1696;18;0.44756;13;345.575;0.000677955;0;;;
14;10.6366;-1;4.65749;14;202.303;0.00705507;0;;;
14;38.4855;38;0.308784;15;731.971;0.000467739;0;;;
14;23.6704;24;0.26318;16;450.196;0.000398659;0;;;
14;1.46602;-1;0.745905;17;27.8828;0.00112988;1;;;
14;41.8223;42;0.671362;18;795.435;0.00101697;1;;;
14;28.3246;28;0.184846;19;538.717;0.00028;1;;;
15;41.9013;42;0.573843;0;785.728;0.000841767;0;;;
15;14.3109;-1;0.56223;1;268.357;0.000824731;1;;;
15;12.9509;13;0.978927;2;242.854;0.00143598;0;;;
15;20.9075;21;0.668306;3;392.054;0.000980334;0;;;
15;31.4986;-1;1.57199;4;590.657;0.00230594;0;;;
15;4.71678;-1;2.32431;5;88.4485;0.00340951;0;;;
15;36.8727;37;0.538838;6;691.431;0.000790418;0;;;
15;10.4245;-1;5.55528;7;195.48;0.00814901;0;;;
15;46.88;47;0.315193;8;879.087;0.000462355;0;;;
15;1;1;1;9;18.7519;0.00146689;0;;;
15;31.8263;32;1.30646;10;596.803;0.00191644;0;;;
15;17.2154;17;0.497132;11;322.821;0.00072924;0;;;
15;26.249;26;0.593069;12;492.217;0.000869969;0;;;
15;18.7206;-1;0.487173;13;351.046;0.00071463;0;;;
15;10.7915;-1;5.32179;14;202.36;0.0078065;0;;;
