seq;freq_ratio;hamonic;amp_ratio;track;freq;amp;newflag
180;1.75561;-1;0.00457291;7;205.078;0.000169073;1
180;1.99846;2;0.076921;2;233.446;0.00284399;0
180;2.37344;-1;0.000775871;18;277.248;2.86862E-005;0
180;2.47892;-1;0.000983533;0;289.57;0.000036364;0
180;2.98789;3;0.0565786;17;349.024;0.00209187;0
180;3.43728;-1;0.00092906;13;401.52;0.00003435;0
180;3.81847;-1;0.000554788;8;446.047;2.05121E-005;0
180;3.9979;4;0.00784645;5;467.007;0.000290105;0
180;4.21346;-1;0.00030992;15;492.188;1.14586E-005;1
180;4.96676;5;0.00304175;14;580.183;0.000112462;0
180;5.09456;5;0.000657933;19;595.111;2.43257E-005;0
180;5.64182;-1;0.000409122;12;659.039;1.51264E-005;0
180;6.11783;6;0.000547003;16;714.642;2.02242E-005;0
180;6.26055;-1;0.000676258;9;731.314;2.50032E-005;0
180;6.94787;7;0.000619778;3;811.602;0.000022915;0
180;7.98363;8;0.00120604;10;932.592;4.45908E-005;0
180;9.0029;9;0.000515499;11;1051.66;1.90594E-005;1
181;0.139981;-7;0.0260161;1;16.3518;0.000958185;0
181;0.490814;-2;0.0407567;4;57.3342;0.00150108;0
181;1;1;1;6;116.814;0.0368304;0
181;2.00025;2;0.0749368;2;233.658;0.00275995;0
181;2.25719;-1;0.00132715;18;263.672;4.88793E-005;0
181;2.98871;3;0.0569571;17;349.125;0.00209775;0
181;3.4549;-1;0.000907505;13;403.582;3.34238E-005;0
181;3.56134;-1;0.00045389;0;416.016;1.67169E-005;1
181;3.81214;-1;0.000844038;8;445.312;3.10863E-005;0
181;3.99865;4;0.00779592;5;467.099;0.000287127;0
181;4.559;-1;0.000212028;15;532.557;7.80909E-006;0
181;4.96154;5;0.00297752;14;579.58;0.000109663;0
181;5.12193;5;0.000551891;19;598.315;2.03264E-005;0
181;5.68486;-1;0.000398914;12;664.073;1.46922E-005;0
181;5.91851;6;0.000334626;7;691.366;1.23244E-005;1
181;6.06955;6;0.000576051;16;709.01;2.12162E-005;0
181;6.27598;-1;0.000620616;9;733.125;2.28575E-005;0
181;6.9505;7;0.00060576;3;811.918;2.23104E-005;0
181;7.99353;8;0.00128156;10;933.759;4.72003E-005;0
181;8.99351;9;0.00050804;11;1050.57;1.87113E-005;0
182;0.101197;-10;0.0283347;1;11.8211;0.00103993;0
182;0.300018;-1;0.0169304;7;35.0458;0.000621371;1
182;0.502606;-2;0.0382044;4;58.7105;0.00140216;0
182;1;1;1;6;116.812;0.0367015;0
182;2.00213;2;0.0730323;2;233.873;0.0026804;0
182;2.48354;-1;0.00127328;18;290.108;4.67312E-005;0
182;2.98996;3;0.0573481;17;349.264;0.00210476;0
182;3.35304;-1;0.0005754;13;391.676;2.11181E-005;0
182;3.5614;-1;0.00051399;0;416.016;1.88642E-005;0
182;3.81221;-1;0.000867938;8;445.312;3.18547E-005;0
182;3.99754;4;0.00778645;5;466.962;0.000285775;0
182;4.56236;-1;0.000161913;15;532.94;5.94247E-006;0
182;4.95577;5;0.00294296;14;578.894;0.000108011;0
182;5.16239;-1;0.000490605;19;603.031;0.000018006;0
182;5.62396;-1;0.000415219;12;656.947;1.52392E-005;0
182;6.07834;6;0.00060061;16;710.025;2.20433E-005;0
182;6.30095;-1;0.000627599;9;736.028;2.30338E-005;0
182;6.94737;7;0.000601094;3;811.538;2.20611E-005;0
182;7.99855;8;0.00135256;10;934.328;4.96409E-005;0
182;9.00461;9;0.000529187;11;1051.85;0.000019422;0
183;0.05485;-18;0.018905;1;6.40697;0.000691565;0
183;0.302885;-1;0.0151556;7;35.3797;0.000554407;0
183;0.49924;-2;0.0362048;13;58.3157;0.00132441;1
183;0.4996;-2;0.0523093;4;58.3578;0.00191353;0
183;1;1;1;6;116.809;0.036581;0
183;2.00258;2;0.0712595;2;233.92;0.00260674;0
183;2.53307;-1;0.00128242;18;295.885;4.69124E-005;0
183;2.99027;3;0.0579852;17;349.29;0.00212116;0
183;3.48926;-1;0.000908133;0;407.577;3.32204E-005;0
183;3.7185;-1;0.000781421;8;434.354;2.85851E-005;0
183;4.00155;4;0.00766914;5;467.417;0.000280545;0
183;4.97084;5;0.00296763;14;580.638;0.000108559;0
183;5.11748;5;0.000686855;19;597.768;2.51259E-005;0
183;5.62917;-1;0.000408813;12;657.538;1.49548E-005;0
183;5.96839;6;0.000442233;15;697.161;1.61773E-005;1
183;6.06408;6;0.000701523;16;708.338;2.56624E-005;0
183;6.30867;-1;0.000601105;9;736.909;0.000021989;0
183;6.94662;7;0.000604524;3;811.427;2.21141E-005;0
183;7.99313;8;0.00138589;10;933.669;5.06971E-005;0
183;9.00939;9;0.000522035;11;1052.38;1.90966E-005;0
184;0.134081;-1;0.0221387;1;15.6609;0.000807266;0
184;0.370907;-1;0.0140493;7;43.3228;0.000512294;0
