seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag
15;11.2566;11;6.24052;2;202.334;0.00765251;0
15;14.9296;15;0.660121;16;268.354;0.000809481;1
15;19.5372;20;0.571609;12;351.175;0.000700942;0
15;21.807;22;0.773038;4;391.974;0.000947947;0
15;24.8167;25;0.346911;15;446.072;0.000425403;0
15;27.3875;27;0.680694;11;492.281;0.000834709;0
15;29.9476;30;0.243444;19;538.299;0.000298526;0
15;32.829;33;1.73862;5;590.09;0.00213201;0
15;33.1812;33;1.50161;8;596.421;0.00184136;0
15;38.4807;38;0.619345;14;691.678;0.000759479;0
15;40.7056;41;0.408384;9;731.67;0.000500786;0
15;43.7106;44;0.662752;1;785.685;0.000812708;0
15;46.677;47;0.23304;17;839.004;0.000285768;1
15;48.8942;49;0.365945;6;878.858;0.000448745;0
15;66.1553;66;0.203142;18;1189.12;0.000249105;1
16;7.26328;-1;4.59152;0;198.784;0.00552451;0
16;3.22291;-1;3.07088;13;88.2057;0.00369488;0
16;16.4726;-1;0.3758;15;450.826;0.000452162;0
16;1;1;1;7;27.3683;0.0012032;0
16;8.81703;9;1.27114;3;241.307;0.00152943;0
16;9.96639;10;0.618798;16;272.763;0.000744538;0
16;11.7932;12;0.643172;12;322.76;0.000773864;0
16;12.8127;13;0.627588;2;350.662;0.000755114;1
16;14.3367;14;0.892248;4;392.37;0.00107355;0
16;17.9827;18;0.806788;11;492.156;0.000970727;0
16;19.6678;20;0.267606;19;538.274;0.000321984;0
16;21.5796;22;2.03696;5;590.596;0.00245087;0
16;21.8043;22;1.65076;8;596.745;0.0019862;0
16;22.8191;23;0.369891;10;624.521;0.000445053;1
16;25.2521;25;0.733673;14;691.107;0.000882755;0
16;26.7373;27;0.444653;9;731.755;0.000535006;0
16;28.7088;29;0.769617;1;785.712;0.000926003;0
16;30.8243;31;0.251516;17;843.609;0.000302624;0
16;32.1214;32;0.422886;6;879.107;0.000508816;0
16;43.2652;43;0.222601;18;1184.09;0.000267833;0
17;8.64787;-1;4.68305;0;198.774;0.00633942;0
17;15.4609;-1;0.557993;2;355.373;0.000755352;0
17;10.505;-1;1.1938;3;241.46;0.00161604;0
17;3.84125;-1;3.00816;13;88.2924;0.00407212;0
17;1;1;1;7;22.9853;0.00135369;0
17;5.05669;5;2.34817;18;116.229;0.0031787;1
17;11.9211;12;0.568247;16;274.01;0.000769231;0
17;13.3725;13;0.43606;19;307.37;0.000590291;1
17;14.347;14;0.59806;12;329.769;0.00080959;0
17;17.0591;17;0.887146;4;392.108;0.00120092;0
17;19.5961;20;0.351313;15;450.423;0.00047557;0
17;21.4215;21;0.817557;11;492.38;0.00110672;0
17;25.6802;26;2.06843;5;590.266;0.00280002;0
17;25.9333;26;1.58256;8;596.085;0.0021423;0
17;27.1641;27;0.34884;10;624.376;0.000472223;0
17;30.061;30;0.743443;14;690.961;0.00100639;0
17;31.6284;32;0.410266;9;726.988;0.000555374;0
17;34.1771;34;0.765029;1;785.572;0.00103561;0
17;36.7068;37;0.23224;17;843.716;0.000314381;0
17;38.253;38;0.42094;6;879.256;0.000569824;0
18;14.5351;-1;1.3031;3;242.131;0.00169216;0
18;5.30689;-1;3.43931;13;88.404;0.00446615;0
18;16.4888;-1;0.610168;16;274.676;0.00079234;0
18;2.13843;-1;0.72194;17;35.6226;0.000937484;1
18;1;1;1;7;16.6583;0.00129856;0
18;6.98473;7;2.64642;18;116.354;0.00343653;0
18;11.9283;12;5.51645;0;198.706;0.00716345;0
18;18.4614;18;0.484344;19;307.536;0.000628951;0
18;19.8692;20;0.651452;12;330.988;0.000845951;0
18;21.3296;21;0.612898;2;355.316;0.000795885;0
18;23.5368;24;1.01843;4;392.084;0.0013225;0
18;27.021;27;0.379507;15;450.124;0.000492813;0
18;29.5805;30;0.958885;11;492.762;0.00124517;0
18;35.3337;35;2.32653;5;588.601;0.00302114;0
18;35.6986;36;1.75103;8;594.68;0.00227382;0
18;37.5185;38;0.363697;10;624.996;0.000472282;0
18;41.4559;41;0.874184;14;690.587;0.00113518;0
18;43.6343;44;0.442307;9;726.875;0.000574363;0
18;47.1617;47;0.876991;1;785.636;0.00113883;0
18;52.7998;53;0.483772;6;879.556;0.000628207;0
19;1.1627;-1;0.469499;10;21.5168;0.000758297;1
19;4.79506;-1;2.98959;13;88.7366;0.00482854;0
19;6.30316;-1;2.27238;18;116.645;0.00367017;0
19;1;1;1;7;18.5058;0.00161512;0
19;10.734;11;4.92789;0;198.643;0.00795913;0
19;13.0687;13;1.06926;3;241.847;0.00172698;0
19;14.909;15;0.491235;16;275.904;0.000793403;0
19;16.5696;17;0.390243;19;306.635;0.000630289;0
19;17.8347;18;0.549812;12;330.046;0.000888012;0
19;19.1554;19;0.504257;2;354.486;0.000814435;0
19;21.1992;21;0.882763;4;392.309;0.00142577;0
19;24.2933;24;0.319425;15;449.569;0.000515909;0
19;26.7243;27;1.2846;11;494.556;0.00207479;0
19;27.0278;27;0.812614;17;500.172;0.00131247;1
19;31.787;32;1.94527;5;588.246;0.00314184;0
19;32.1181;32;1.36097;8;594.372;0.00219813;0
19;37.3075;37;0.780837;14;690.407;0.00126114;0
19;39.2618;39;0.360318;9;726.573;0.000581956;0
19;42.4646;42;0.765958;1;785.842;0.00123711;0
19;47.7282;48;0.408933;6;883.25;0.000660475;0
20;0.059918;-17;0.145782;7;11.9113;0.00126371;0
20;1.78058;-1;0.104108;2;353.967;0.000902463;0
20;1.21199;-1;0.202581;3;240.936;0.00175608;0
