#seq, freq_ratio, harmonic, amp_ratio, tracknum, f, amp, newflag, env, pitch,note
2,11.0057,11,0.12112,9,273.724,1.67473e-05,0,24.003,0,87.3354
2,1,1,1,10,24.8712,0.00013827,0,24.003,0,87.3354
2,5.4711,-1,0.327636,11,136.073,4.53021e-05,0,24.003,0,87.3354
2,16.9899,17,0.106123,12,422.558,1.46736e-05,0,24.003,0,87.3354
2,2.49114,-1,0.971703,13,61.9575,0.000134357,0,24.003,0,87.3354
2,13.1586,13,0.089512,14,327.271,1.23768e-05,0,24.003,0,87.3354
2,11.5774,-1,0.0840102,15,287.944,1.16161e-05,0,24.003,0,87.3354
2,28.7434,29,0.0339644,16,714.882,4.69624e-06,0,24.003,0,87.3354
2,65.6633,66,0.0392705,17,1633.12,5.42992e-06,0,24.003,0,87.3354
2,19.5539,20,0.0223087,18,486.328,3.08461e-06,0,24.003,0,87.3354
2,14.3065,14,0.11303,19,355.818,1.56286e-05,0,24.003,0,87.3354
3,26.2373,26,0.0340365,0,714.372,4.52233e-06,1,23.9404,0,87.3354
3,13.9352,14,0.0539977,1,379.419,7.17451e-06,0,23.9404,0,87.3354
3,19.7466,20,0.0711767,2,537.646,9.45703e-06,0,23.9404,0,87.3354
3,8.36705,-1,0.198155,3,227.812,2.63282e-05,0,23.9404,0,87.3354
3,6.30028,-1,0.411339,4,171.54,5.46533e-05,0,23.9404,0,87.3354
3,24.3437,24,0.0393166,5,662.812,5.22388e-06,0,23.9404,0,87.3354
3,21.1592,21,0.0573637,6,576.108,7.62174e-06,0,23.9404,0,87.3354
3,17.1462,17,0.0321773,7,466.845,4.27531e-06,0,23.9404,0,87.3354
3,3.7151,-1,0.121889,8,101.152,1.61951e-05,0,23.9404,0,87.3354
3,10.0399,10,0.119878,9,273.361,1.59278e-05,0,23.9404,0,87.3354
3,1,1,1,10,27.2273,0.000132867,0,23.9404,0,87.3354
3,4.95949,5,0.353201,11,135.034,4.69288e-05,0,23.9404,0,87.3354
3,15.5232,-1,0.100805,12,422.656,1.33937e-05,0,23.9404,0,87.3354
3,2.28962,-1,1.0307,13,62.3403,0.000136946,0,23.9404,0,87.3354
3,12.0072,12,0.0970523,14,326.925,1.2895e-05,0,23.9404,0,87.3354
3,10.6003,-1,0.0777458,15,288.618,1.03299e-05,0,23.9404,0,87.3354
3,32.2456,32,0.0349128,16,877.961,4.63876e-06,0,23.9404,0,87.3354
3,59.9872,60,0.0402192,17,1633.29,5.3438e-06,0,23.9404,0,87.3354
3,17.8016,18,0.0412778,18,484.691,5.48446e-06,0,23.9404,0,87.3354
3,13.093,13,0.12573,19,356.488,1.67054e-05,0,23.9404,0,87.3354
4,14.3534,14,0.0476404,0,399.726,6.01565e-06,1,23.8967,0,87.3354
4,13.466,-1,0.0615529,1,375.012,7.77241e-06,0,23.8967,0,87.3354
4,19.3226,19,0.0742585,2,538.111,9.37678e-06,0,23.8967,0,87.3354
4,8.18815,8,0.216365,3,228.031,2.73208e-05,0,23.8967,0,87.3354
4,6.15441,6,0.424217,4,171.393,5.35668e-05,0,23.8967,0,87.3354
4,23.805,24,0.0385729,5,662.941,4.87068e-06,0,23.8967,0,87.3354
4,20.6415,21,0.0598387,6,574.843,7.55595e-06,0,23.8967,0,87.3354
4,16.2454,16,0.0310651,7,452.417,3.92265e-06,0,23.8967,0,87.3354
4,3.62635,-1,0.164415,8,100.99,2.0761e-05,0,23.8967,0,87.3354
4,9.79159,10,0.114973,9,272.685,1.45179e-05,0,23.8967,0,87.3354
4,1,1,1,10,27.8489,0.000126272,0,23.8967,0,87.3354
4,4.81188,-1,0.38205,11,134.005,4.82423e-05,0,23.8967,0,87.3354
4,15.1726,15,0.096173,12,422.54,1.2144e-05,0,23.8967,0,87.3354
4,2.25249,-1,1.10585,13,62.7293,0.000139638,0,23.8967,0,87.3354
